"BestMatchID"	"File_Name"	"BestMatchScore"	"OrigMetaID"	"Cluster"	"CellType"	"fov"	"Slide_celltype_fov"
"T1_b_g2_Macrophage_14"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_14"	"T1_b_g2"	"Macrophage"	"T1_b_14"	"T1_b_Macrophage_T1_b_14"
"T1_b_g2_Macrophage_15"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_15"	"T1_b_g2"	"Macrophage"	"T1_b_15"	"T1_b_Macrophage_T1_b_15"
"T1_b_g2_Macrophage_16"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_16"	"T1_b_g2"	"Macrophage"	"T1_b_16"	"T1_b_Macrophage_T1_b_16"
"T1_b_g2_Macrophage_17"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_17"	"T1_b_g2"	"Macrophage"	"T1_b_17"	"T1_b_Macrophage_T1_b_17"
"T1_b_g2_Macrophage_18"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_18"	"T1_b_g2"	"Macrophage"	"T1_b_18"	"T1_b_Macrophage_T1_b_18"
"T1_b_g2_Macrophage_19"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_19"	"T1_b_g2"	"Macrophage"	"T1_b_19"	"T1_b_Macrophage_T1_b_19"
"T1_b_g2_Macrophage_20"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_20"	"T1_b_g2"	"Macrophage"	"T1_b_20"	"T1_b_Macrophage_T1_b_20"
"T1_b_g2_Macrophage_21"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_21"	"T1_b_g2"	"Macrophage"	"T1_b_21"	"T1_b_Macrophage_T1_b_21"
"T1_b_g2_Macrophage_22"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g2_Macrophage_22"	"T1_b_g2"	"Macrophage"	"T1_b_22"	"T1_b_Macrophage_T1_b_22"
"T1_b_g3_PDAC-Cancer_1"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_1"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_1"	"T1_b_PDAC-Cancer_T1_b_1"
"T1_b_g3_PDAC-Cancer_2"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_2"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_2"	"T1_b_PDAC-Cancer_T1_b_2"
"T1_b_g3_PDAC-Cancer_3"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_3"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_3"	"T1_b_PDAC-Cancer_T1_b_3"
"T1_b_g3_PDAC-Cancer_4"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_4"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_4"	"T1_b_PDAC-Cancer_T1_b_4"
"T1_b_g3_PDAC-Cancer_5"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_5"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_5"	"T1_b_PDAC-Cancer_T1_b_5"
"T1_b_g3_PDAC-Cancer_6"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_6"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_6"	"T1_b_PDAC-Cancer_T1_b_6"
"T1_b_g3_PDAC-Cancer_7"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_7"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_7"	"T1_b_PDAC-Cancer_T1_b_7"
